ID,UniqueID,Rank,Previous Rank,Team,FPV,Conf,WLT,Points,Last Week,DateNum,ShortDate
19855,BAMA40428,1,1,Alabama,47,SEC,1/1/2000,1484,W 48-3 H San Jose State,40428,9/7/2010
19856,OSU40428,2,2,Ohio State,4,Big Ten,1/1/2000,1412,W 45-7 H Marshall,40428,9/7/2010
19857,BSU40428,3,3,Boise State,8,WAC,1/1/2000,1399,W 33-30 N #10 Virginia Tech,40428,9/7/2010
19858,TCU40428,4,6,TCU,0,MWC,1/1/2000,1256,W 30-21 N #24 Oregon State,40428,9/7/2010
19859,TEX40428,5,5,Texas,1,Big 12,1/1/2000,1192,W 34-17 A Rice,40428,9/7/2010
19860,NEB40428,6,8,Nebraska,0,Big 12,1/1/2000,1105,W 49-10 H Western Kentucky,40428,9/7/2010
19861,ORG40428,7,11,Oregon,0,Pac-10,1/1/2000,1077,W 72-0 H New Mexico,40428,9/7/2010
19862,UF40428,8,4,Florida,0,SEC,1/1/2000,1065,W 34-12 H Miami (OH),40428,9/7/2010
19863,IOWA40428,9,9,Iowa,0,Big Ten,1/1/2000,1044,W 37-7 H Eastern Illinois,40428,9/7/2010
19864,OU40428,10,7,Oklahoma,0,Big 12,1/1/2000,917,W 31-24 H Utah State,40428,9/7/2010
19865,WIS40428,11,12,Wisconsin,0,Big Ten,1/1/2000,881,W 41-21 A UNLV,40428,9/7/2010
19866,MIA40428,12,13,Miami,0,ACC,1/1/2000,877,W 45-0 H Florida A&M,40428,9/7/2010
19867,VT40428,13,10,Virginia Tech,0,ACC,0-1,782,L 33-30 N #3 Boise State,40428,9/7/2010
19868,ARK40428,14,17,Arkansas,0,SEC,1/1/2000,572,W 44-3 H Tennessee Tech,40428,9/7/2010
19869,GT40428,15,16,Georgia Tech,0,ACC,1/1/2000,555,W 41-10 H South Carolina State,40428,9/7/2010
19870,USC40428,16,14,USC,0,Pac-10,1/1/2000,520,W 49-36 A Hawaii,40428,9/7/2010
19871,FSU40428,17,20,Florida State,0,ACC,1/1/2000,504,W 59-6 H Samford,40428,9/7/2010
19872,PSU40428,18,19,Penn State,0,Big Ten,1/1/2000,418,W 44-14 H Youngstown State,40428,9/7/2010
19873,LSU40428,19,21,LSU,0,SEC,1/1/2000,384,W 30-24 N #18 North Carolina,40428,9/7/2010
19874,UTAH40428,20,NR,Utah,0,MWC,1/1/2000,365,W 27-24 (1OT) H #15 Pittsburgh,40428,9/7/2010
19875,AUB40428,21,22,Auburn,0,SEC,1/1/2000,362,W 52-26 H Arkansas State,40428,9/7/2010
19876,UGA40428,22,23,Georgia,0,SEC,1/1/2000,353,W 55-7 H Louisiana-Lafayette,40428,9/7/2010
19877,WVU40428,23,25,West Virginia,0,Big East,1/1/2000,226,W 31-0 H Coastal Carolina,40428,9/7/2010
19878,SUCK40428,24,NR,South Carolina,0,SEC,1/1/2000,164,W 41-13 H Southern Miss,40428,9/7/2010
19879,STAN40428,25,NR,Stanford,0,Pac-10,1/1/2000,96,W 52-17 H Sacramento State,40428,9/7/2010
19880,MICH40428,RV,NR,Michigan,0,Big Ten,1/1/2000,71,W 30-10 H Connecticut,40428,9/7/2010
19881,HOU40428,RV,NR,Houston,0,C-USA,1/1/2000,60,W 68-28 H Texas State,40428,9/7/2010
19882,PITT40428,RV,15,Pittsburgh,0,Big East,0-1,59,L 27-24 (1OT) A Utah,40428,9/7/2010
19883,OGST40428,RV,24,Oregon State,0,Pac-10,0-1,58,L 30-21 N #6 TCU,40428,9/7/2010
19884,UNC40428,RV,18,North Carolina,0,ACC,0-1,45,L 30-24 N #21 LSU,40428,9/7/2010
19885,ND40428,RV,NR,Notre Dame,0,Ind,1/1/2000,38,W 23-12 H Purdue,40428,9/7/2010
19886,AU40428,RV,NR,Arizona,0,Pac-10,1/1/2000,30,W 41-2 A Toledo,40428,9/7/2010
19887,BYU40428,RV,NR,BYU,0,MWC,1/1/2000,30,W 23-17 H Washington,40428,9/7/2010
19888,MIZZ40428,RV,NR,Missouri,0,Big 12,1/1/2000,25,W 23-13 N Illinois,40428,9/7/2010
19889,FRES40428,RV,NR,Fresno State,0,WAC,1/1/2000,24,W 28-14 H Cincinnati,40428,9/7/2010
19890,KSU40428,RV,NR,Kansas State,0,Big 12,1/1/2000,12,W 31-22 H UCLA,40428,9/7/2010
19891,CU40428,RV,NR,Clemson,0,ACC,1/1/2000,11,W 35-10 H North Texas,40428,9/7/2010
19892,TAMU40428,RV,NR,Texas A&M,0,Big 12,1/1/2000,10,W 48-7 H Stephen F. Austin,40428,9/7/2010
19893,OKST40428,RV,NR,Oklahoma State,0,Big 12,1/1/2000,7,W 65-17 H Washington State,40428,9/7/2010
19894,CINN40428,RV,NR,Cincinnati,0,Big East,0-1,4,L 28-14 A Fresno State,40428,9/7/2010
19895,TTU40428,RV,NR,Texas Tech,0,Big 12,1/1/2000,3,W 35-27 H SMU,40428,9/7/2010
19896,MSU40428,RV,NR,Michigan State,0,Big Ten,1/1/2000,2,W 38-14 H Western Michigan,40428,9/7/2010
19897,ECU40428,RV,NR,East Carolina,0,C-USA,1/1/2000,1,W 51-49 H Tulsa,40428,9/7/2010
19898,AIR40428,NR,NR,Air Force,0,MWC,1/1/2000,0,W 65-21 H Northwestern State,40428,9/7/2010
19899,ASU40428,NR,NR,Arizona State,0,Pac-10,1/1/2000,0,W 54-9 H Portland State,40428,9/7/2010
19900,BC40428,NR,NR,Boston College,0,ACC,1/1/2000,0,W 38-20 H Weber State,40428,9/7/2010
19901,CAL40428,NR,NR,California,0,Pac-10,1/1/2000,0,W 52-3 H UC Davis,40428,9/7/2010
19902,CONN40428,NR,NR,Connecticut,0,Big East,0-1,0,L 30-10 A Michigan,40428,9/7/2010
19903,MARY40428,NR,NR,Maryland,0,ACC,1/1/2000,0,W 17-14 N Navy,40428,9/7/2010
19904,MSSU40428,NR,NR,Mississippi State,0,SEC,1/1/2000,0,W 49-7 H Memphis,40428,9/7/2010
19905,NCST40428,NR,NR,NC State,0,ACC,1/1/2000,0,W 48-7 H Western Carolina,40428,9/7/2010
19906,NEV40428,NR,NR,Nevada,0,WAC,1/1/2000,0,W 49-24 H Eastern Washington,40428,9/7/2010
19907,NW40428,NR,NR,Northwestern,0,Big Ten,1/1/2000,0,W 23-21 A Vanderbilt,40428,9/7/2010
