Date,VisTeam,VisRushingYards,VisRushingAttempts,VisPassingYards,VisPassingAttempts,VisPassingCompletions,VisPenalties,VisPenaltyYards,VisFumblesLost,VisInterceptionsThrown,Vis1stDowns,Vis3rdDownAttempts,Vis3rdDownConversions,Vis4thDownAttempts,Vis4thDownConversions,VisTimeofPossession,VisScore,HomeTeam,HomeRushingYards,HomeRushingAttempts,HomePassingYards,HomePassingAttempts,HomePassingCompletions,HomePenalties,HomePenaltyYards,HomeFumblesLost,HomeInterceptionsThrown,Home1stDowns,Home3rdDownAttempts,Home3rdDownConversions,Home4thDownAttempts,Home4thDownConversions,HomeTimeofPossession,HomeScore,Winner,WinnerTag
8/26/2017,Portland State,86,36,134,36,16,7,70,0,1,14,19,7,4,2,1821,6,BYU,171,35,194,27,16,7,70,0,0,13,13,4,1,0,1779,20,BYU,BYU42973
8/26/2017,Oregon State,152,29,304,47,27,3,21,2,3,23,16,10,0,0,1541,27,Colorado State,191,43,334,39,26,8,40,1,1,31,14,8,1,1,2059,58,Colorado State,CSU42973
8/26/2017,Hawaii,112,35,391,38,25,9,88,0,1,19,15,6,4,2,1884,38,UMass,115,41,298,34,22,5,55,1,1,20,16,8,3,3,1716,35,Hawaii,HI42973
8/26/2017,USF,315,74,233,26,13,10,57,0,0,29,19,3,3,3,2190,42,San Jose State,109,38,278,50,25,9,64,0,3,18,21,7,2,1,1410,22,USF,USF42973
8/27/2017,Stanford,287,36,369,37,21,4,35,0,0,27,9,6,1,0,2018,62,Rice,146,38,95,24,10,6,45,1,1,14,15,5,2,0,1582,7,Stanford,STAN42974
8/31/2017,Austin Peay,224,60,89,19,9,10,87,1,1,20,16,3,5,3,2261,14,Cincinnati,97,29,151,28,17,7,70,0,0,15,11,3,0,0,1339,26,Cincinnati,CINN42978
8/31/2017,URI,108,31,284,40,21,10,75,0,6,15,16,4,0,0,1690,27,Central Michigan,246,50,253,54,28,9,87,3,1,24,20,5,1,1,1910,30,Central Michigan,CMU42978
8/31/2017,Buffalo,51,22,211,42,22,4,35,0,1,13,17,5,1,0,1381,7,Minnesota,169,51,239,32,19,4,35,0,1,21,18,6,1,1,2219,17,Minnesota,MINN42978
8/31/2017,Tulsa,244,60,188,38,20,6,48,2,0,26,26,16,2,1,2200,24,Oklahoma State,332,37,308,26,21,5,51,2,0,25,9,5,0,0,1400,59,Oklahoma State,OKST42978
8/31/2017,Elon,128,40,47,14,3,5,40,0,1,7,14,4,1,0,1741,13,Toledo,239,41,314,34,19,2,20,1,1,24,14,6,2,1,1859,47,Toledo,TOL42978
